group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,DDX19B,2.676127,0.41919735,0.007447841654465616,0.02668986952273417,0.21496437054631828,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NETO2,2.675478,1.3347999,0.007462276116903871,0.026737783297527514,0.10688836104513064,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SEC14L2,2.6750638,1.1778042,0.007471502716634116,0.026767025985683215,0.10332541567695962,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,HACL1,2.6748705,0.91659796,0.0074758119633651235,0.026778646188943524,0.12470308788598575,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TBC1D22B,2.6742768,1.0809269,0.007489061446627932,0.026822282786611553,0.11163895486935867,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,GINS3,2.6742215,1.802198,0.007490295026614393,0.026822877786627685,0.08432304038004751,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,DHX16,2.6739178,0.27069244,0.007497082974193588,0.026839535685359236,0.42399049881235157,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,DGKA,2.673752,0.59699625,0.0075007878156310185,0.026848973822104875,0.17933491686460806,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000290876,2.6725233,1.9127774,0.007528316671093284,0.026943674876973658,0.07957244655581948,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,H2BC15,2.6720123,1.6728313,0.007539787886627336,0.026980887213781217,0.08907363420427554,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,RNFT2,2.6714737,3.145217,0.007551896131517661,0.027020368217681303,0.0665083135391924,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000291065,2.670673,0.83385605,0.007569935509489473,0.027081056304449243,0.15676959619952494,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,FLRT2,2.6700792,0.4137814,0.007583334459182834,0.027123498609419493,0.342042755344418,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TAF8,2.6700516,0.8430615,0.007583958183292795,0.027123498609419493,0.13539192399049882,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PGPEP1L,2.6699688,3.796592,0.007585829631583299,0.027126330864156136,0.06294536817102138,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,BANP,2.6684499,0.7854356,0.007620212967966972,0.02724152958586912,0.13895486935866982,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SLC22A1,2.6678562,5.3067303,0.007633691661425865,0.027285832726644258,0.06175771971496437,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MLLT11,2.6661026,0.8408455,0.0076736256828214494,0.027420771637931936,0.1377672209026128,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,IGSF11,2.6659784,3.5038958,0.007676462744726864,0.027427009220744578,0.06413301662707839,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SVIL-AS1,2.6654675,0.2892662,0.007688136100881449,0.027464811478952095,0.3194774346793349,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MYCBP,2.664211,0.19573161,0.007716913956833536,0.02756369778355552,0.5926365795724465,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZFHX3-AS1,2.6637692,1.4795371,0.007727056560990059,0.02759600302225102,0.09382422802850356,Control_G1S,up
